Year,Month,Day,LST,Solar Flare,Sunspot Number
2001,1,1,30.65,1.53,133
2001,1,2,31.59,0,140
2001,1,3,29.15,0.93,131
2001,1,4,29.41,0.34,146
2001,1,5,24.35,2,164
2001,1,6,28.17,2.06,194
2001,1,7,28.93,0,195
2001,1,8,28.35,0.69,157
2001,1,9,26.19,1.87,172
2001,1,10,25.89,5.06,151
2001,1,11,27.09,0.33,172
2001,1,12,23.85,1.69,175
2001,1,13,28.79,1.15,166
2001,1,14,26.69,0.9,149
2001,1,15,29.17,2.31,137
2001,1,16,29.81,0.34,112
2001,1,17,30.11,0.67,88
2001,1,18,32.13,0,90
2001,1,19,29.81,2.17,109
2001,1,20,33.63,26.49,91
2001,1,21,29.21,3.23,121
2001,1,22,31.47,1.35,139
2001,1,23,30.09,0.72,167
2001,1,24,30.53,8.64,176
2001,1,25,26.73,1.97,158
2001,1,26,27.03,4.52,125
2001,1,27,28.09,0.8,145
2001,1,28,24.15,11.11,152
2001,1,29,29.07,1.79,134
2001,1,30,27.17,0.78,104
2001,1,31,30.07,0.02,128
2001,2,1,30.59,1.2,118
2001,2,2,30.83,1.72,118
2001,2,3,35.41,0,139
2001,2,4,31.85,2.85,137
2001,2,5,34.35,2.52,158
2001,2,6,29.41,0.14,166
2001,2,7,33.57,0.2,167
2001,2,8,30.07,0.22,167
2001,2,9,32.01,3.28,172
2001,2,10,32.25,1.94,158
2001,2,11,30.03,10.89,151
2001,2,12,33.39,1.65,107
2001,2,13,31.21,0.61,107
2001,2,14,36.07,1.79,103
2001,2,15,39.83,0,113
2001,2,16,37.07,0.07,110
2001,2,17,35.95,0,107
2001,2,18,34.85,0,115
2001,2,19,39.57,0.28,113
2001,2,20,34.65,0.56,115
2001,2,21,37.81,1.06,142
2001,2,22,33.75,1.01,122
2001,2,23,36.03,2.07,89
2001,2,24,33.75,0,84
2001,2,25,31.49,0.09,84
2001,2,26,35.49,0.1,87
2001,2,27,31.25,0.44,75
2001,2,28,38.47,0.26,77
2001,3,1,35.51,0.32,76
2001,3,2,38.57,0,77
2001,3,3,35.85,2.01,110
2001,3,4,38.37,0.13,134
2001,3,5,33.47,2.15,152
2001,3,6,37.11,1,133
2001,3,7,40.31,5.13,124
2001,3,8,37.25,2.85,92
2001,3,9,42.05,8.55,115
2001,3,10,37.91,5.06,142
2001,3,11,42.01,1.52,132
2001,3,12,40.21,2.36,139
2001,3,13,41.17,0.18,108
2001,3,14,41.65,1.07,117
2001,3,15,36.79,2.18,110
2001,3,16,45.17,2.78,102
2001,3,17,36.09,3.78,75
2001,3,18,46.23,4.85,89
2001,3,19,42.43,0.77,96
2001,3,20,44.53,9.29,117
2001,3,21,43.95,5.68,129
2001,3,22,43.67,1.4,124
2001,3,23,40.75,2.9,165
2001,3,24,39.79,21.13,218
2001,3,25,47.25,13.7,272
2001,3,26,38.77,19.48,319
2001,3,27,43.45,30.38,352
2001,3,28,40.97,32.08,343
2001,3,29,42.37,25.4,340
2001,3,30,40.65,23.21,338
2001,3,31,42.59,5.66,300
2001,4,1,45.33,13.79,279
2001,4,2,37.83,30.14,249
2001,4,3,46.83,8.31,254
2001,4,4,44.21,5.65,201
2001,4,5,47.61,14.86,200
2001,4,6,44.67,3.16,165
2001,4,7,45.23,0.69,150
2001,4,8,41.19,0.19,173
2001,4,9,39.09,15.25,165
2001,4,10,44.99,30.02,171
2001,4,11,37.13,14.89,173
2001,4,12,43.81,19.01,155
2001,4,13,39.09,0.13,147
2001,4,14,42.07,3.23,138
2001,4,15,39.92,13.19,113
2001,4,16,42.33,0.09,87
2001,4,17,45.28,0,42
2001,4,18,45.31,0,57
2001,4,19,46.59,0.52,93
2001,4,20,42.47,8.19,129
2001,4,21,41.95,2.31,174
2001,4,22,45.35,4.61,164
2001,4,23,46.73,17.9,159
2001,4,24,43.51,16.44,164
2001,4,25,40.29,21.69,179
2001,4,26,45.93,38.52,179
2001,4,27,33.99,11.85,192
2001,4,28,43.63,4.58,161
2001,4,29,32.31,1.68,170
2001,4,30,42.79,5.06,168
2001,5,1,38.59,6.59,157
2001,5,2,37.25,4.02,174
2001,5,3,46.23,2.39,169
2001,5,4,30.53,2.7,194
2001,5,5,41.31,3.08,174
2001,5,6,29.83,1.33,135
2001,5,7,34.95,8.96,116
2001,5,8,37.65,2.4,81
2001,5,9,25.31,4.65,93
2001,5,10,30.19,2.9,88
2001,5,11,35.11,0.37,118
2001,5,12,39.15,14.3,124
2001,5,13,38.37,3.9,125
2001,5,14,40.73,1.66,150
2001,5,15,36.59,3.32,141
2001,5,16,39.59,2.99,146
2001,5,17,41.17,6.71,140
2001,5,18,38.07,2.56,137
2001,5,19,45.95,0.54,125
2001,5,20,31.07,0,121
2001,5,21,38.65,0.66,140
2001,5,22,40.95,0.57,178
2001,5,23,36.89,0.38,197
2001,5,24,37.07,3.06,174
2001,5,25,36.45,8.5,165
2001,5,26,38.41,0.28,174
2001,5,27,36.13,0,182
2001,5,28,40.69,0,151
2001,5,29,27.65,0.43,125
2001,5,30,35.67,0,110
2001,5,31,34.61,0.24,101
2001,6,1,37.93,0.62,88
2001,6,2,35.99,1.04,150
2001,6,3,36.85,3.73,150
2001,6,4,35.85,7.12,145
2001,6,5,36.09,5.35,161
2001,6,6,32.17,5.98,180
2001,6,7,30.69,1.56,195
2001,6,8,30.93,9.56,215
2001,6,9,35.67,19.25,254
2001,6,10,32.11,5.6,241
2001,6,11,36.57,2.6,262
2001,6,12,35.45,2.26,259
2001,6,13,32.57,7.87,242
2001,6,14,35.08,2.22,273
2001,6,15,34.31,6.93,282
2001,6,16,34.71,4.23,289
2001,6,17,33.76,0.42,270
2001,6,18,34.04,13.17,232
2001,6,19,34.46,1.51,214
2001,6,20,33.90,8.39,206
2001,6,21,33.95,3.69,218
2001,6,22,33.84,7.47,229
2001,6,23,33.95,14.4,235
2001,6,24,33.79,0.79,220
2001,6,25,33.65,1.72,198
2001,6,26,33.68,2.11,173
2001,6,27,33.61,3.63,162
2001,6,28,33.54,2.05,135
2001,6,29,33.45,0.41,112
2001,6,30,33.41,0.05,98
2001,7,1,35.04,0,111
2001,7,2,34.99,0,125
2001,7,3,34.93,0.31,120
2001,7,4,35.71,0,107
2001,7,5,30.33,0.15,93
2001,7,6,40.01,0.02,68
2001,7,7,36.97,0.47,71
2001,7,8,38.53,2.01,81
2001,7,9,37.02,3.09,107
2001,7,10,28.63,0.25,105
2001,7,11,25.17,0.09,104
2001,7,12,28.83,0.06,135
2001,7,13,29.75,0.31,167
2001,7,14,26.55,4.4,149
2001,7,15,24.29,6.61,153
2001,7,16,35.01,10.28,170
2001,7,17,34.55,1.34,185
2001,7,18,36.87,1.51,191
2001,7,19,27.41,10.08,183
2001,7,20,31.59,0.97,177
2001,7,21,26.07,2.59,144
2001,7,22,34.21,1.99,150
2001,7,23,37.89,1.75,152
2001,7,24,33.75,1.1,135
2001,7,25,29.11,1.04,119
2001,7,26,28.29,0,92
2001,7,27,22.61,1.39,90
2001,7,28,29.65,2.95,95
2001,7,29,30.27,0.38,69
2001,7,30,29.37,0,86
2001,7,31,33.20,1.83,78
2001,8,1,26.37,2.83,94
2001,8,2,29.19,5.66,123
2001,8,3,29.39,4.3,141
2001,8,4,33.51,5.56,175
2001,8,5,33.11,1.29,198
2001,8,6,32.05,3.65,182
2001,8,7,35.39,8.8,179
2001,8,8,36.87,3.76,178
2001,8,9,39.59,4.63,158
2001,8,10,40.07,1.85,150
2001,8,11,32.65,3.16,170
2001,8,12,30.89,0.48,170
2001,8,13,35.97,0.28,138
2001,8,14,31.51,0.84,141
2001,8,15,31.59,0.11,161
2001,8,16,32.95,0.23,193
2001,8,17,21.91,1.19,178
2001,8,18,33.67,4.38,161
2001,8,19,34.25,0.79,152
2001,8,20,39.23,4.48,153
2001,8,21,32.61,0.31,167
2001,8,22,34.75,3.57,170
2001,8,23,35.89,2.61,181
2001,8,24,26.37,10.68,176
2001,8,25,36.23,46.25,140
2001,8,26,27.95,4.4,153
2001,8,27,30.55,6.99,170
2001,8,28,31.91,9.55,184
2001,8,29,32.59,17.92,146
2001,8,30,29.43,11.89,150
2001,8,31,30.93,15.47,175
2001,9,1,34.11,1.21,163
2001,9,2,35.23,18.76,168
2001,9,3,36.73,6.87,190
2001,9,4,34.21,10.66,171
2001,9,5,33.85,16.75,190
2001,9,6,29.81,9.4,223
2001,9,7,29.89,3.98,262
2001,9,8,31.03,11.11,288
2001,9,9,28.59,33.13,262
2001,9,10,31.77,6.49,237
2001,9,11,35.93,6.23,199
2001,9,12,30.97,5.14,235
2001,9,13,29.63,8.21,237
2001,9,14,35.87,5.45,234
2001,9,15,36.71,13.73,205
2001,9,16,35.73,23.65,191
2001,9,17,30.45,10.65,177
2001,9,18,22.35,3.87,215
2001,9,19,35.23,3.4,226
2001,9,20,31.69,3.08,289
2001,9,21,35.93,6.1,273
2001,9,22,37.61,9.29,259
2001,9,23,31.19,7.74,294
2001,9,24,37.35,29.1,316
2001,9,25,36.93,13.1,305
2001,9,26,39.15,10.66,277
2001,9,27,42.03,5.25,278
2001,9,28,38.51,41.08,269
2001,9,29,38.43,20.69,251
2001,9,30,33.31,8.21,261
2001,10,1,32.21,1.79,260
2001,10,2,35.97,3.07,223
2001,10,3,29.41,7.28,209
2001,10,4,35.47,1.72,204
2001,10,5,36.07,3.36,176
2001,10,6,39.09,3.17,161
2001,10,7,33.87,1.4,159
2001,10,8,34.27,0.13,119
2001,10,9,34.57,14.27,122
2001,10,10,30.11,3.38,151
2001,10,11,34.37,1.23,175
2001,10,12,35.73,2.87,196
2001,10,13,36.65,1,167
2001,10,14,32.11,1.85,178
2001,10,15,46.35,2.85,190
2001,10,16,35.39,2.95,187
2001,10,17,35.47,2.93,195
2001,10,18,34.11,10.06,203
2001,10,19,34.87,47.18,221
2001,10,20,29.59,3.12,247
2001,10,21,37.37,11.5,238
2001,10,22,33.21,35.39,209
2001,10,23,38.35,12.09,221
2001,10,24,36.99,7.84,209
2001,10,25,36.41,50.74,233
2001,10,26,38.07,10.99,238
2001,10,27,32.01,6.52,221
2001,10,28,35.31,11.78,215
2001,10,29,32.83,13.46,186
2001,10,30,30.41,12.01,159
2001,10,31,32.57,6.42,144
2001,11,1,31.97,12.89,159
2001,11,2,34.35,3.02,166
2001,11,3,30.47,2.31,166
2001,11,4,35.37,75,184
2001,11,5,45.43,4.98,216
2001,11,6,43.90,4.39,232
2001,11,7,32.43,12.68,204
2001,11,8,32.83,18.49,252
2001,11,9,33.47,24.12,247
2001,11,10,37.43,10.83,247
2001,11,11,32.23,7.55,240
2001,11,12,29.39,4.95,201
2001,11,13,32.91,2.7,196
2001,11,14,32.51,6.68,196
2001,11,15,35.25,5,194
2001,11,16,34.53,1.88,149
2001,11,17,32.89,35.45,141
2001,11,18,34.61,1.62,153
2001,11,19,33.27,3.16,134
2001,11,20,36.31,4.52,144
2001,11,21,29.55,8.21,133
2001,11,22,34.75,24.36,144
2001,11,23,27.85,0.87,133
2001,11,24,31.01,12.32,111
2001,11,25,31.39,6.09,121
2001,11,26,32.21,0.65,139
2001,11,27,34.65,11.62,126
2001,11,28,28.95,9.22,177
2001,11,29,30.87,8.6,191
2001,11,30,25.93,4.36,201
2001,12,1,29.89,25.96,215
2001,12,2,28.79,7.52,241
2001,12,3,28.61,7.2,242
2001,12,4,29.49,7.29,234
2001,12,5,28.85,3.92,255
2001,12,6,30.59,12.07,229
2001,12,7,25.17,11.65,223
2001,12,8,29.85,2.35,226
2001,12,9,28.75,6.1,228
2001,12,10,29.87,9.25,186
2001,12,11,29.21,11.98,171
2001,12,12,28.87,17.89,189
2001,12,13,30.59,27.04,192
2001,12,14,28.17,15.11,163
2001,12,15,33.93,3.51,174
2001,12,16,28.43,21.64,194
2001,12,17,31.01,1.8,192
2001,12,18,29.99,4.1,186
2001,12,19,30.95,4.11,160
2001,12,20,32.39,8.4,163
2001,12,21,29.43,4.04,194
2001,12,22,30.41,2.19,218
2001,12,23,28.95,8.21,215
2001,12,24,32.35,15.07,253
2001,12,25,31.17,10.19,231
2001,12,26,31.99,50.94,270
2001,12,27,32.29,38.02,265
2001,12,28,30.51,6.22,252
2001,12,29,32.37,3.15,221
2001,12,30,28.85,2.17,216
2001,12,31,28.89,3.92,218
2002,1,1,28.67,0.21,220
2002,1,2,30.71,9.74,218
2002,1,3,31.61,6.3,220
2002,1,4,30.09,5.5,230
2002,1,5,32.71,9.47,191
2002,1,6,30.91,4,159
2002,1,7,29.49,3.04,146
2002,1,8,28.65,4.52,162
2002,1,9,30.27,20.55,196
2002,1,10,27.67,7.27,186
2002,1,11,29.09,3.42,209
2002,1,12,30.01,7.31,209
2002,1,13,28.67,5.98,201
2002,1,14,31.83,10.15,197
2002,1,15,26.67,2.9,168
2002,1,16,30.29,4,141
2002,1,17,27.93,0.79,120
2002,1,18,30.29,0.27,139
2002,1,19,29.75,0.39,160
2002,1,20,30.69,2.06,176
2002,1,21,31.73,1.5,191
2002,1,22,29.67,2.41,194
2002,1,23,34.29,1.21,227
2002,1,24,23.43,1.27,186
2002,1,25,29.77,1.44,157
2002,1,26,29.07,2.78,172
2002,1,27,29.63,0.47,191
2002,1,28,28.53,1.55,196
2002,1,29,29.83,5.48,188
2002,1,30,30.75,0.55,193
2002,1,31,25.69,2.2,181
2002,2,1,30.35,0.79,179
2002,2,2,27.33,0.63,214
2002,2,3,29.97,1.59,252
2002,2,4,29.29,7.79,243
2002,2,5,29.89,4.53,239
2002,2,6,31.65,4.22,198
2002,2,7,29.83,0.53,165
2002,2,8,34.85,0,165
2002,2,9,32.49,1.33,174
2002,2,10,35.85,8.63,166
2002,2,11,40.53,3.44,173
2002,2,12,38.51,9.69,174
2002,2,13,36.51,9.08,165
2002,2,14,36.01,2.12,146
2002,2,15,35.05,3.02,163
2002,2,16,30.87,0.81,125
2002,2,17,38.37,3.2,144
2002,2,18,34.91,4.07,127
2002,2,19,34.45,1.03,124
2002,2,20,36.09,9.22,151
2002,2,21,35.17,9.36,128
2002,2,22,37.49,1.93,133
2002,2,23,33.59,4.21,149
2002,2,24,39.13,4.48,157
2002,2,25,33.85,8.13,192
2002,2,26,36.87,1.93,195
2002,2,27,36.03,2.07,170
2002,2,28,36.45,2.84,154
2002,3,1,37.35,8.02,163
2002,3,2,35.51,0.96,117
2002,3,3,36.45,0,167
2002,3,4,33.41,0.3,170
2002,3,5,40.99,0,158
2002,3,6,41.49,0,167
2002,3,7,39.53,0.13,139
2002,3,8,39.23,0.4,118
2002,3,9,35.99,10.11,111
2002,3,10,39.97,0.83,117
2002,3,11,34.69,0,154
2002,3,12,41.77,1.29,135
2002,3,13,34.11,2.08,138
2002,3,14,40.05,7.41,130
2002,3,15,38.03,7.87,150
2002,3,16,40.17,3.07,141
2002,3,17,43.07,2.07,132
2002,3,18,41.31,4,138
2002,3,19,43.27,10.52,114
2002,3,20,43.84,2.92,127
2002,3,21,43.94,2.33,142
2002,3,22,45.21,0.61,139
2002,3,23,45.54,2.66,158
2002,3,24,46.22,1.63,166
2002,3,25,47.02,0.99,163
2002,3,26,47.53,2.34,151
2002,3,27,48.27,0,172
2002,3,28,46.53,0.49,160
2002,3,29,44.15,6.82,170
2002,3,30,40.89,9.25,166
2002,3,31,38.95,5.68,187
2002,4,1,38.69,2.23,180
2002,4,2,33.83,3.04,201
2002,4,3,32.17,0.48,195
2002,4,4,34.73,1.82,197
2002,4,5,32.23,2.58,197
2002,4,6,39.07,4.47,211
2002,4,7,33.33,3.64,214
2002,4,8,41.05,2.7,208
2002,4,9,39.51,6.63,229
2002,4,10,41.61,7.11,220
2002,4,11,35.75,5.64,235
2002,4,12,38.33,11.35,251
2002,4,13,42.95,2.2,223
2002,4,14,32.17,18.72,232
